"TABLE 4 (from report ‘Irrigation water requirement and water withdrawal by country’, November 2012)",,,,,,
Water requirement ratio and comparison with water resources by country (165 countries and 2,,,,,,
territories in this review) *,,,,,,
Country,Total freshwater resources,Year,Water.requirement,Water.requirement.ratio,Water.withdrawal,Irrigation.pressure
Norway,382.000,2007,0.068,60,0.113,0.03
Occupied Palestinian Territory,0.837,2003,0.093,49,0.189,22.58
Oman,1.400,2004,0.721,62,1.168,83.43
Pakistan,246.800,2008,126.891,74,172.400,69.85
Panama,148.000,1997,0.160,23,0.687,0.46
Paraguay,336.000,2012,0.959,51,1.897,0.56
Peru,1913.000,1998,5.663,35,16.350,0.85
Philippines,479.000,2006,33.280,51,65.590,13.69
Poland,61.600,2007,0.031,32,0.098,0.16
Portugal,68.700,2007,2.016,31,6.567,9.56
Puerto Rico,7.100,2005,0.048,65,0.074,1.04
Qatar,0.058,2001,0.076,29,0.262,451.72
Republic of Korea,69.700,2002,3.932,27,14.487,20.78
Republic of Moldova,11.650,2007,0.025,70,0.036,0.31
Romania,211.900,2007,0.379,53,0.718,0.34
Russian Federation,4508.000,2008,9.227,70,13.200,0.29
Rwanda,9.500,2000,0.026,25,0.102,1.07
Saint Kitts and Nevis,0.024,1997,0.000,25,0.000,0.76
Saint Lucia,NA,2007,0.008,25,0.030,NA
Saint Vincent and the Grenadines,NA,1990,0.003,25,0.010,NA
Saudi Arabia,2.400,2000,11.599,56,20.830,867.92
Senegal,38.800,2002,0.949,46,2.065,5.32
Serbia,162.200,2011,0.021,32,0.066,0.04
Seychelles,NA,2003,0.000,27,0.001,NA
Sierra Leone,160.000,1992,0.011,24,0.046,0.03
Slovakia,50.100,2007,0.003,32,0.009,0.02
Slovenia,31.870,2010,0.001,32,0.002,0.01
Somalia,14.700,2003,0.263,32,0.820,5.58
South Africa,50.000,2000,2.138,27,7.836,15.67
Spain,111.500,2009,14.058,72,19.560,17.54
Sri Lanka,52.800,2006,3.819,34,11.310,21.42
Sudan and South Sudan,64.500,2000,8.015,31,26.153,40.55
Suriname,122.000,1998,0.167,39,0.431,0.35
Swaziland,4.510,2000,0.313,32,0.993,22.02
Sweden,174.000,2007,0.041,60,0.069,0.04
Switzerland,53.500,2007,0.041,60,0.068,0.13
Syrian Arab Republic,16.800,2004,7.123,49,14.670,87.32
Tajikistan,15.980,2009,4.281,41,10.441,65.34
Thailand,438.600,2007,34.191,66,51.790,11.81
The former Yugoslav Republic of Macedonia,6.400,2004,0.078,62,0.126,1.97
TimorNALeste,8.215,2002,0.192,18,1.071,13.04
Togo,14.700,1996,0.007,46,0.014,0.10
Trinidad and Tobago,3.840,1997,0.009,25,0.036,0.94
Tunisia,4.595,2001,1.552,72,2.165,47.12
Turkey,213.600,2006,25.139,85,29.600,13.86
Turkmenistan,24.720,2006,13.558,51,26.364,106.65
Uganda,66.000,2010,0.063,52,0.120,0.18
Ukraine,139.600,2010,0.826,70,1.186,0.85
United Arab Emirates,0.150,2003,1.815,55,3.312,2208.00
United Kingdom,147.000,2007,0.035,60,0.059,0.04
United Republic of Tanzania,96.270,2002,0.973,22,4.425,4.60
United States of America,3069.000,2007,108.528,61,177.403,5.78
Uruguay,139.000,1998,1.077,34,3.170,2.28
Uzbekistan,50.410,2005,22.515,45,50.400,99.98
Venezuela (Bolivarian Republic of),1233.000,2008,6.472,39,16.707,1.35
Viet Nam,884.100,2005,29.238,38,77.750,8.79
Yemen,2.100,2004,1.773,55,3.235,154.05
Zambia,105.200,2002,0.306,27,1.150,1.09
Zimbabwe,20.000,1999,0.836,25,3.318,16.59
TOTAL (165 countries and 2 territories),52579.472,NA,1500.464,56,2672.640,5.07
"* Not included: Andorra, Bahamas,","Bosnia and Herzegovina, Comoros, Cook Islands,","Croatia, Dominica, Equatorial",,,,
"Guinea, Faroe Islands, Fiji, Holy See, Iceland, Kiribati, Liechtenstein, Luxembourg, Maldives, Marshall Islands, Micronesia",,,,,,
"(Federated States of), Monaco, Nauru, Niue, Palau, Papua New Guinea, Samoa, San Marino, Sao Tome and Principe,",,,,,,
"Singapore, Solomon Islands, Tokelau, Tonga, Tuvalu, Vanuatu",,,,,,
† km3 = 10^9 m3,,,,,,
° Total longNAterm average annual actual renewable freshwater resources,,,,,,
Page 3 of 3,http://www.fao.org/nr/water/aquastat/,,,,,
